"Month_Date","FFTR","title","text"
"1982-10-01",9.5968,"Volcker Disinflation Turn","With inflation falling, the Fed moved away from strict reserve targeting. Short-term interest rates began a broad decline from their early-1980s highs."
"1982-11-01",9.3,"",""
"1982-12-01",8.7097,"",""
"1983-01-01",8.5,"",""
"1983-02-01",8.5,"",""
"1983-03-01",8.504,"",""
"1983-04-01",8.625,"",""
"1983-05-01",8.6532,"",""
"1983-06-01",8.8083,"",""
"1983-07-01",9.2177,"",""
"1983-08-01",9.4919,"",""
"1983-09-01",9.4333,"",""
"1983-10-01",9.375,"",""
"1983-11-01",9.375,"",""
"1983-12-01",9.375,"",""
"1984-01-01",9.375,"",""
"1984-02-01",9.375,"",""
"1984-03-01",9.4839,"",""
"1984-04-01",10.5,"",""
"1984-05-01",10.5,"",""
"1984-06-01",10.5,"",""
"1984-07-01",11.0403,"",""
"1984-08-01",11.4355,"1984 Tightening Peak","A powerful economic recovery, rapid money growth, heavy borrowing, and concern that inflation could return kept monetary policy restrictive. The federal funds rate climbed above 11%, while mortgage rates exceeded 14%. Rates began falling later in 1984 as economic growth moderated."
"1984-09-01",11.375,"",""
"1984-10-01",10.4355,"",""
"1984-11-01",9.4833,"",""
"1984-12-01",8.5887,"",""
"1985-01-01",8.1573,"",""
"1985-02-01",8.317,"",""
"1985-03-01",8.3911,"",""
"1985-04-01",8.45,"",""
"1985-05-01",8.0565,"",""
"1985-06-01",7.75,"",""
"1985-07-01",7.7218,"",""
"1985-08-01",7.7722,"",""
"1985-09-01",7.9688,"",""
"1985-10-01",8,"",""
"1985-11-01",8,"",""
"1985-12-01",7.8871,"",""
"1986-01-01",7.75,"",""
"1986-02-01",7.75,"",""
"1986-03-01",7.3468,"",""
"1986-04-01",7.1229,"",""
"1986-05-01",6.7702,"",""
"1986-06-01",6.8667,"",""
"1986-07-01",6.5363,"",""
"1986-08-01",6.1976,"",""
"1986-09-01",5.875,"",""
"1986-10-01",5.875,"",""
"1986-11-01",5.875,"",""
"1986-12-01",5.875,"",""
"1987-01-01",5.9839,"",""
"1987-02-01",6,"",""
"1987-03-01",6,"",""
"1987-04-01",6.0167,"Inflation Pressures Build","A falling dollar, higher import and energy prices, and worsening inflation expectations increased pressure on the Fed to act. The Fed would tighten policy shortly afterward, pushing the funds rate to 6.58% in May and 6.75% in June."
"1987-05-01",6.5806,"",""
"1987-06-01",6.75,"",""
"1987-07-01",6.629,"",""
"1987-08-01",6.6452,"",""
"1987-09-01",7.2188,"",""
"1987-10-01",7.3125,"Black Monday","After the October 19 stock-market crash, the Fed supplied liquidity to the financial system and allowed interest rates to decline."
"1987-11-01",6.8625,"",""
"1987-12-01",6.8125,"",""
"1988-01-01",6.7883,"",""
"1988-02-01",6.5431,"",""
"1988-03-01",6.5161,"",""
"1988-04-01",6.75,"",""
"1988-05-01",6.9919,"",""
"1988-06-01",7.3063,"",""
"1988-07-01",7.5786,"",""
"1988-08-01",8.0141,"",""
"1988-09-01",8.125,"",""
"1988-10-01",8.125,"",""
"1988-11-01",8.2313,"",""
"1988-12-01",8.5464,"",""
"1989-01-01",8.9597,"",""
"1989-02-01",9.2679,"",""
"1989-03-01",9.75,"",""
"1989-04-01",9.75,"",""
"1989-05-01",9.7802,"1989 Tightening Peak","After tightening policy through 1988 and early 1989 to restrain inflation, the Fed held the funds rate near 9.75%. By late spring, employment, consumer spending, housing, and money growth were weakening, prompting a shift toward rate cuts beginning in mid-1989."
"1989-06-01",9.6042,"",""
"1989-07-01",9.3206,"",""
"1989-08-01",9.0625,"",""
"1989-09-01",9.0625,"",""
"1989-10-01",8.9315,"",""
"1989-11-01",8.5417,"",""
"1989-12-01",8.4032,"",""
"1990-01-01",8.25,"",""
"1990-02-01",8.25,"",""
"1990-03-01",8.25,"",""
"1990-04-01",8.25,"",""
"1990-05-01",8.25,"",""
"1990-06-01",8.25,"",""
"1990-07-01",8.0968,"Recession Easing Begins","The Fed lowered its target to 8.00% as the economy entered recession. Rate cuts continued through 1992."
"1990-08-01",8,"",""
"1990-09-01",8,"",""
"1990-10-01",7.9758,"",""
"1990-11-01",7.6083,"",""
"1990-12-01",7.1935,"",""
"1991-01-01",6.8145,"",""
"1991-02-01",6.25,"",""
"1991-03-01",6.0565,"",""
"1991-04-01",5.9917,"",""
"1991-05-01",5.75,"",""
"1991-06-01",5.75,"",""
"1991-07-01",5.75,"",""
"1991-08-01",5.5403,"",""
"1991-09-01",5.35,"",""
"1991-10-01",5.2419,"",""
"1991-11-01",4.7917,"",""
"1991-12-01",4.3468,"",""
"1992-01-01",4,"",""
"1992-02-01",4,"",""
"1992-03-01",4,"",""
"1992-04-01",3.8167,"",""
"1992-05-01",3.75,"",""
"1992-06-01",3.75,"",""
"1992-07-01",3.2661,"",""
"1992-08-01",3.25,"",""
"1992-09-01",3.025,"Rate Reaches 3 Percent","The final cut of the 1990–1992 easing cycle brought the federal funds target down to 3.00%."
"1992-10-01",3,"",""
"1992-11-01",3,"",""
"1992-12-01",3,"",""
"1993-01-01",3,"",""
"1993-02-01",3,"",""
"1993-03-01",3,"",""
"1993-04-01",3,"",""
"1993-05-01",3,"",""
"1993-06-01",3,"",""
"1993-07-01",3,"",""
"1993-08-01",3,"",""
"1993-09-01",3,"",""
"1993-10-01",3,"",""
"1993-11-01",3,"",""
"1993-12-01",3,"",""
"1994-01-01",3,"",""
"1994-02-01",3.2232,"Aggressive Tightening Begins","The Fed raised its target from 3.00% to 3.25%, beginning a tightening cycle that eventually brought the rate to 6.00%."
"1994-03-01",3.3306,"",""
"1994-04-01",3.6083,"",""
"1994-05-01",3.9919,"",""
"1994-06-01",4.25,"",""
"1994-07-01",4.25,"",""
"1994-08-01",4.5081,"",""
"1994-09-01",4.75,"",""
"1994-10-01",4.75,"",""
"1994-11-01",5.15,"",""
"1994-12-01",5.5,"",""
"1995-01-01",5.5,"",""
"1995-02-01",6,"",""
"1995-03-01",6,"",""
"1995-04-01",6,"",""
"1995-05-01",6,"",""
"1995-06-01",6,"",""
"1995-07-01",5.7903,"Soft-Landing Cut","After the aggressive 1994 tightening cycle, the Fed lowered the target to 5.75% as inflation pressures eased."
"1995-08-01",5.75,"",""
"1995-09-01",5.75,"",""
"1995-10-01",5.75,"",""
"1995-11-01",5.75,"",""
"1995-12-01",5.6452,"",""
"1996-01-01",5.4919,"",""
"1996-02-01",5.25,"",""
"1996-03-01",5.25,"",""
"1996-04-01",5.25,"",""
"1996-05-01",5.25,"",""
"1996-06-01",5.25,"",""
"1996-07-01",5.25,"",""
"1996-08-01",5.25,"",""
"1996-09-01",5.25,"",""
"1996-10-01",5.25,"",""
"1996-11-01",5.25,"",""
"1996-12-01",5.25,"",""
"1997-01-01",5.25,"",""
"1997-02-01",5.25,"",""
"1997-03-01",5.3065,"",""
"1997-04-01",5.5,"",""
"1997-05-01",5.5,"",""
"1997-06-01",5.5,"",""
"1997-07-01",5.5,"",""
"1997-08-01",5.5,"",""
"1997-09-01",5.5,"",""
"1997-10-01",5.5,"",""
"1997-11-01",5.5,"",""
"1997-12-01",5.5,"",""
"1998-01-01",5.5,"",""
"1998-02-01",5.5,"",""
"1998-03-01",5.5,"",""
"1998-04-01",5.5,"",""
"1998-05-01",5.5,"",""
"1998-06-01",5.5,"",""
"1998-07-01",5.5,"",""
"1998-08-01",5.5,"",""
"1998-09-01",5.4833,"Russia and LTCM Crisis","Following Russia’s default and instability surrounding Long-Term Capital Management, the Fed began three rapid cuts that lowered the target to 4.75%."
"1998-10-01",5.1129,"",""
"1998-11-01",4.8833,"",""
"1998-12-01",4.75,"",""
"1999-01-01",4.75,"",""
"1999-02-01",4.75,"",""
"1999-03-01",4.75,"",""
