"Month_Date","FFTR","title","text"
"1982-10-01",9.5968,"",""
"1982-11-01",9.3,"",""
"1982-12-01",8.7097,"",""
"1983-01-01",8.5,"",""
"1983-02-01",8.5,"",""
"1983-03-01",8.504,"",""
"1983-04-01",8.625,"",""
"1983-05-01",8.6532,"Test Title","Something happened"
"1983-06-01",8.8083,"",""
"1983-07-01",9.2177,"",""
"1983-08-01",9.4919,"",""
"1983-09-01",9.4333,"",""
"1983-10-01",9.375,"",""
"1983-11-01",9.375,"",""
"1983-12-01",9.375,"",""
"1984-01-01",9.375,"",""
"1984-02-01",9.375,"",""
"1984-03-01",9.4839,"",""
"1984-04-01",10.5,"",""
"1984-05-01",10.5,"",""
"1984-06-01",10.5,"",""
"1984-07-01",11.0403,"",""
"1984-08-01",11.4355,"",""
"1984-09-01",11.375,"",""
"1984-10-01",10.4355,"",""
"1984-11-01",9.4833,"",""
"1984-12-01",8.5887,"",""
"1985-01-01",8.1573,"",""
"1985-02-01",8.317,"",""
"1985-03-01",8.3911,"",""
"1985-04-01",8.45,"",""
"1985-05-01",8.0565,"",""
"1985-06-01",7.75,"",""
"1985-07-01",7.7218,"",""
"1985-08-01",7.7722,"",""
"1985-09-01",7.9688,"",""
"1985-10-01",8,"",""
"1985-11-01",8,"",""
"1985-12-01",7.8871,"",""
"1986-01-01",7.75,"",""
"1986-02-01",7.75,"",""
"1986-03-01",7.3468,"",""
"1986-04-01",7.1229,"",""
"1986-05-01",6.7702,"",""
"1986-06-01",6.8667,"",""
"1986-07-01",6.5363,"",""
"1986-08-01",6.1976,"",""
"1986-09-01",5.875,"",""
"1986-10-01",5.875,"",""
"1986-11-01",5.875,"",""
"1986-12-01",5.875,"",""
"1987-01-01",5.9839,"",""
"1987-02-01",6,"",""
"1987-03-01",6,"",""
"1987-04-01",6.0167,"",""
"1987-05-01",6.5806,"",""
"1987-06-01",6.75,"",""
"1987-07-01",6.629,"",""
"1987-08-01",6.6452,"",""
"1987-09-01",7.2188,"",""
"1987-10-01",7.3125,"",""
"1987-11-01",6.8625,"",""
"1987-12-01",6.8125,"",""
"1988-01-01",6.7883,"",""
"1988-02-01",6.5431,"",""
"1988-03-01",6.5161,"",""
"1988-04-01",6.75,"",""
"1988-05-01",6.9919,"",""
"1988-06-01",7.3063,"Test Title","Something happened"
"1988-07-01",7.5786,"",""
"1988-08-01",8.0141,"",""
"1988-09-01",8.125,"",""
"1988-10-01",8.125,"",""
